"","site","longitude","latitude","annual_precipitation","mean_temperature"
"1","GLG23033",97.7165,24.7706,1775,16.149999777476
"2","GLG23034",97.718,24.8064,1767,15.1583333015442
"3","GLG23035",97.6605,24.6304,1758,17.6416665712992
"4","GLG23036",97.6227,24.5132,1742,17.9999999205271
"5","GLG23037",97.5534,24.486,1712,22.058333158493
"6","GLG23038",97.5319,24.4376,1716,22.975000222524
"7","GLG23039",97.6576,24.467,1674,19.7249999841054
"8","GLG23040",97.9103,24.6798,1702,20.6583334604899
"9","GLG23041a",98.3566,24.8805,1635,19.2083334128062
"10","GLG23041b",98.2037,24.7823,1652,18.9416666825612
"11","GLG23042",98.2429,24.6727,1648,19.233333269755
"12","GLG23043",98.2715,24.5415,1638,20.0000000794729
"13","GLG23044",97.8946,24.6748,1704,20.6333335240682
"14","GLG23045",97.7303,24.4765,1650,20.0916668574015
"15","GLG23046",97.8067,24.4246,1671,17.5416669050852
"16","GLG23047",97.856,24.2546,1546,20.2249999841054
"17","GLG23048",98.0218,24.4749,1626,19.5250000953674
"18","GLG23049",97.957,24.0631,1464,20.4499999682109
"19","GLG23050",98.1037,24.1656,1514,20.7416666348775
"20","GLG23051",98.1383,24.2319,1535,20.675000111262
"21","GLG23052",98.5525,24.4468,1596,20.783333381017
"22","GLG23053",98.6822,24.6454,1410,17.6833333969116
"23","GLG23054",98.67,24.7045,1474,18.6499998569489
"24","GLG23055",98.786,24.4282,1363,17.2666665712992
"25","GLG23056",98.828,24.4968,1295,14.9999999205271
"26","GLG23057",98.8908,24.5413,1258,14.9416667620341
"27","GLG23058",98.8977,24.5699,1252,14.8333330949148
"28","GLG23059",98.6097,25.3243,1457,16.8666667143504
"29","GLG23060",98.5333,25.617,1462,15.0666664838791
"30","GLG23061",98.6782,24.8443,1436,18.0666669209798
"31","GLG23062",98.7713,24.7307,1271,15.3249998092651
"32","GLG23063",98.8221,24.6941,1266,15.9000000158946
"33","GLG23064",98.9128,24.7784,1464,21.0000000794729
"34","GLG23065",98.8385,24.9315,1414,19.7583336035411
"35","GLG23066",98.839,25.2364,1516,20.7083332538605
"36","GLG23067",98.7998,25.2776,1373,18.1250001589457
"37","GLG23068",98.8321,25.0907,1507,20.5749999682109
"38","GLG01",98.84333,25.87417,1635,19.9666667779287
"39","GLG02",98.81139,25.93167,1574,18.641666730245
"40","GLG03",98.82556,26.03028,1601,18.8333330949148
"41","GLG04",98.85528,26.13444,1552,17.8750000794729
"42","GLG05",98.845,26.27861,1559,17.4750000635783
"43","GLG06",98.89167,26.48917,1609,17.5666666030884
"44","GLG07",98.86028,26.95944,1654,16.6583334604899
"45","GLG08",98.8775,27.12944,1613,16.233333269755
"46","GLG09",98.59139,28.04528,1378,12.8333332538605
"47","GLG10",98.62972,28.02472,1470,13.9666665395101
"48","GLG11",98.65833,27.96639,1397,13.5833334922791
"49","GLG12",98.65806,27.76667,1524,14.3250001271566
"50","GLG13",98.41111,27.91111,1259,9.78333329161008
"51","GLG14",98.33833,27.89306,1698,13.366666674614
"52","GLG15",98.33111,27.785,1808,13.9250000317891
"53","GLG16",98.32472,27.8375,1792,13.733333269755
"54","GLG17",98.20417,28.21556,1189,8.40000001092752
"55","GLG18",98.235,28.20056,1189,8.3583334137996
"56","GLG19",98.23583,28.20222,1189,8.3583334137996
"57","GLG20",98.295,28.14667,1336,10.8749999403954
"58","GLG21",98.30917,28.12667,1316,10.550000111262
"59","GLG22",98.31972,28.12556,1355,10.7333333094915
"60","GLG23",98.32583,28.07639,1481,11.4833333094915
"61","GLG24",98.32167,28.01333,1613,12.4500000874201
"62","GLG25",98.34917,27.69944,1776,14.0750002463659
"63","GLG26",98.27056,27.6775,1993,14.9166666666667
"64","GLG27",98.275,27.68806,2083,15.449999888738
"65","GLG28",98.34583,27.7625,1882,14.6333336035411
"66","GLG29",98.34,27.86639,1750,13.6083333094915
"67","GLG30",98.84417,26.85972,1527,15.7999999523163
"68","GLG31",98.88306,26.78333,1575,16.6000000635783
"69","GLG32",98.88944,26.75049,1660,17.399999777476
"70","GLG33",98.89056,26.71611,1566,16.6083334287008
"71","GLG34",98.89889,26.645,1616,17.0750000476837
"72","GLG35",98.89911,26.58003,1593,17.0833334128062
"73","GLG36",98.82306,26.36142,1376,14.6249999602636
"74","GLG37",98.84444,25.74917,1566,19.5000002384186
"75","GLG38",98.86278,25.54361,1457,19.1749998728434
"76","GLG39",98.85972,25.50056,1478,19.5250001748403
"77","GLG40",98.83667,25.36944,1434,19.1666663487752
"78","GLG41",98.80667,25.30667,1361,17.9083331425985
"79","GLG42",98.67361,25.03284,1428,17.3666667143504
"80","GLG43",98.47917,25.33417,1503,16.058333158493
"81","GLG44",98.36669,25.10422,1569,16.4416667620341
"82","GLG45",98.29067,25.29553,1602,15.3916666507721
"83","GLG46",98.22678,25.42025,1613,14.5500000317891
"84","GLG47",98.17664,25.11187,1750,18.7416667143504
"85","GLG50",98.12822,25.15589,1797,18.7666668097178
"86","GLG52",97.92778,25.15556,1766,15.0083333651225
"87","GLG53",97.8625,25.10139,1817,16.5333333015442
"88","GLG54",97.75806,25.08889,1919,20.7666666507721
"89","GLG55",97.82444,24.97111,1811,17.8083333174388
"90","GLG56",97.94083,24.98583,1738,15.6916666030884
"91","GLG57",97.92944,24.82861,1769,18.8750000794729
"92","GLG58",97.57028,24.74194,1812,22.9583331743876
"93","GLG59",97.58194,24.71361,1805,23.0749999682109
"94","GLG60",97.59139,24.66472,1766,21.074999888738
"95","GLG61",97.60556,24.60556,1770,18.1333334445953
"96","GLG62",97.56814,24.69969,1797,23.024999777476
"97","GLG63",97.58806,24.68056,1776,21.7000000476837
"98","GLG64",97.978583,25.15494,1744,15.2833333015442
"99","GLG66",98.02075,25.23647,1703,13.9749999841054
"100","GLG67",98.09361,25.27361,1751,15.4999999205271
"101","GLG68",98.12472,24.96611,1747,18.8583335876465
